,words,x,y
573,koppelaar,13.792091,3.3800092
574,maid,12.777365,0.7027056
575,mussels,13.602317,6.337515
576,reel,14.783296,3.9952514
577,pope,13.592951,0.5305569
578,rarekiek,13.226567,3.1134362
579,breasts,14.244051,4.3860507
580,grandfather,14.528896,1.2677088
581,bol,14.472639,1.5390224
582,cod,14.563504,2.4254653
583,scaffold,12.299416,4.937435
584,sloth,12.701938,6.612416
585,buren,12.058125,3.898005
586,mundi,12.214145,4.058035
587,defeated,13.999206,2.837635
588,carrots,14.431058,6.9878716
589,sceptre,13.791831,5.7764435
590,alexandrine,11.62861,2.2197192
591,dudley,12.76071,2.7740138
592,pulpit,15.704979,5.146374
593,participated,16.115845,2.2520456
594,jagiellouka,12.490175,6.4458303
595,melons,14.432605,7.0016437
596,command,18.1259,4.87449
597,barges,10.316639,4.868838
598,come,17.923334,5.050341
599,requesens,13.838499,2.3812015
600,mourners,14.952455,1.0101132
601,fisherman,11.987189,5.9086704
602,type,17.998756,4.3233237
603,begs,15.007952,5.1029344
604,ceremony,16.1321,1.556341
605,pioneers,14.910178,1.0596738
606,hilltop,11.589781,4.0747256
607,episcopal,13.647421,0.44287923
608,gesture,14.281013,4.503801
609,a)elemos(e,17.307732,3.553721
610,was,16.248783,5.7807794
611,bridal,12.966171,0.55097246
612,skaters,16.318533,1.5919477
613,richly,14.288657,3.0436146
614,sails,10.390756,4.926675
615,allard,11.481648,5.4457746
616,elder,14.195962,1.27865
617,eating,15.598885,6.3532214
618,wagenbrug,9.605408,5.0096455
619,daubigny,13.878624,7.22183
620,coachman,14.339747,1.6269774
621,hasselaer,17.34396,3.0490873
622,bobbins,12.743321,3.7908444
623,goods,15.291537,2.6504028
624,objects,17.463829,4.2490206
625,belgrade,10.1469965,2.5803754
626,vreeland,11.14453,5.0911565
627,verkolje,13.426858,6.292515
628,emmery,15.706176,4.324872
629,west,12.696672,2.958446
630,beuning,14.483391,4.4210134
631,haamstede,14.510365,6.395742
